Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
AZ-W-15035,FRANK A. CUDA,REUNION CAMP JUNIPERWOOD RANCH WINERY,7775 W STOCKMAN RD,ASH FORK,AZ,86320,1111,YAVAPAI,35.2250114,-112.4840675
AZ-W-15036,BARBARA CARR AND ROCKY CARR,SONORAN DESERT WINERY,9385 S WILTBANK RD,TUCSON,AZ,85736,0000,PIMA,32.079795,-111.254868
AZ-W-15037,"CARLSON CREEK VINEYARD, LLC",CARLSON CREEK VINEYARD,115 RAILVIEW AVE,WILLCOX,AZ,85643,2227,COCHISE,32.2516869,-109.829907
AZ-W-15038,"CADUCEUS CELLARS, LLC",CADUCEUS CELLARS,103 DUNDEE AVE,JEROME,AZ,86331,0000,YAVAPAI,34.752133,-112.103062
AZ-W-15039,HAMMELMAN WINES LLC,HAMMELMAN WINES,130 S HASKELL AVE,WILLCOX,AZ,85643,1111,COCHISE,32.252216,-109.833086
AZ-W-15040,WINE CANYON LLC,WINE CANYON,6140 S KINGS RANCH RD,GOLD CANYON,AZ,85118,4679,PINAL,33.359659,-111.448657
AZ-W-15041,"HANNAH'S HILL ENTERPRISES, LLC",HANNAH'S HILL VINEYARD,3989 HIGHWAY 82,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6598128,-110.5253565
AZ-W-15042,"CRAIG VINEYARDS, LLC",CHARRON VINEYARDS & WINERY,18585 S SONOITA HWY,VAIL,AZ,85641,9107,PIMA,31.9148199,-110.6592023
AZ-WS-15001,"FORWARD BRANDS, LLC",FOOT PATH WINERY,2937 W THOMAS RD,PHOENIX,AZ,85017,5511,MARICOPA,33.4804133,-112.1232151
CA-W-32,"F. KORBEL & BROS., INC.",F. KORBEL & BROS.,13250 RIVER RD,GUERNEVILLE,CA,95446,9593,SONOMA,38.510079,-122.96773
CA-W-134,"VERA FERRARA & GASPER FERRARA, JR.",FERRARA WINERY,1120 W 15TH AVE,ESCONDIDO,CA,92025,5548,SAN DIEGO,33.102847,-117.086923
CA-W-163,"SAN ANTONIO WINERY, INC.",SAN ANTONIO WINERY,737 LAMAR ST,LOS ANGELES,CA,90031,2514,LOS ANGELES,34.06393,-118.22377
CA-W-174,"CONSTELLATION WINES U.S., INC.",MISSION BELL WINERY,12667 ROAD 24,MADERA,CA,93637,9020,MADERA,36.9333068,-120.1103433
CA-W-190,"SUTTER HOME WINERY, INC.",,100 ST HELENA HWY S,SAINT HELENA,CA,94574,2204,NAPA,38.495229,-122.453203
CA-W-235,WENTE BROS.,,5565 TESLA RD,LIVERMORE,CA,94550,9149,ALAMEDA,37.666723,-121.746364
CA-W-279,HEITZ WINE CELLARS,,500 TAPLIN RD,SAINT HELENA,CA,94574,9537,NAPA,38.501548,-122.416654
CA-W-288,"SEGHESIO WINERIES, INC.",,24035 CHIANTI RD,CLOVERDALE,CA,95425,9780,SONOMA,38.7439048,-122.9569415
CA-W-289,"SEGHESIO WINERIES, INC.",,14730 GROVE ST,HEALDSBURG,CA,95448,4818,SONOMA,38.618566,-122.874726
CA-W-303,SCHRAMSBERG VINEYARDS COMPANY,,1400 SCHRAMSBERG RD,CALISTOGA,CA,94515,9622,NAPA,38.550559,-122.538405
CA-W-308,L. FOPPIANO WINE COMPANY,L. FOPPIANO WINE CO,12707 OLD REDWOOD HWY,HEALDSBURG,CA,95448,9241,SONOMA,38.588447,-122.8495084
CA-W-309,VIE-DEL COMPANY,,11903 S CHESTNUT AVE,FRESNO,CA,93725,9618,FRESNO,36.563198,-119.739263
CA-W-310,WEIBEL INCORPORATED,WEIBEL CHAMPAGNE VINEYARDS,1 WINEMASTER WAY,LODI,CA,95240,0860,SAN JOAQUIN,38.1459244,-121.2479449
CA-W-312,ROBERT MONDAVI WINERY,,7801 ST HELENA HWY,OAKVILLE,CA,94562,0000,NAPA,38.4342392,-122.4005221
CA-W-331,"RIDGE VINEYARDS, INC.",,18100 MONTE BELLO RD,CUPERTINO,CA,95014,0000,SANTA CLARA,37.305323,-122.128385
CA-W-397,VIE-DEL COMPANY,,13363 S INDIANOLA AVE,KINGSBURG,CA,93631,9268,FRESNO,36.54313,-119.5841352
CA-W-403,DIAGEO CHATEAU & ESTATE WINES COMPANY,BEAULIEU VINEYARD CELLARS,1960 ST HELENA HWY,RUTHERFORD,CA,94558,0000,NAPA,38.4607,-122.422046
CA-W-413,GIUMARRA VINEYARDS CORPORATION,GIUMARRA VINEYARDS,11220 EDISON HWY,EDISON,CA,93307,0000,KERN,35.352413,-118.882447
CA-W-431,"VINA VISTA VINEYARD & WINERY, INC.",VINA VISTA VINEYARD,24401 CHIANTI RD,GEYSERVILLE,CA,95441,0000,SONOMA,38.70379,-122.910728
CA-W-439,"FORTINO WINERY, INC.",FORTINO WINERY,4525 HECKER PASS HWY,GILROY,CA,95020,8807,SANTA CLARA,37.0134145,-121.6536925
CA-W-450,CHARLES H.MYERS,HARBOR WINERY,610 HARBOR BLVD,WEST SACRAMENTO,CA,95691,2229,YOLO,38.582428,-121.5480677
CA-W-465,CAYMUS VINEYARDS,,8700 CONN CREEK RD,RUTHERFORD,CA,94558,0000,NAPA,38.469668,-122.398853
CA-W-478,"BURGESS CELLARS, INC.",BURGESS CELLARS,1108 DEER PARK RD,ST HELENA,CA,94574,0000,NAPA,38.5584933,-122.4731492
CA-W-480,MARIO FORTINO & FRANCES FORTINO,HECKER PASS WINERY,4605 HECKER PASS RD,GILROY,CA,95020,8808,SANTA CLARA,37.015045,-121.654824
CA-W-483,DRY CREEK VINEYARD INC.,DRY CREEK VINEYARD,3770 LAMBERT BRIDGE RD,HEALDSBURG,CA,95448,9713,SONOMA,38.653067,-122.924521
CA-W-488,SANTA BARBARA WINERY,,202 ANACAPA ST,SANTA BARBARA,CA,93101,1806,SANTA BARBARA,34.415375,-119.690521
CA-W-512,J. FILIPPI VINTAGE CO.,,12467 BASELINE RD,RANCHO CUCAMONGA,CA,91739,9522,SAN BERNARDINO,34.120928,-117.533612
CA-W-518,"SEBASTIANI VINEYARDS, INC.",SEBASTIANI VINEYARDS,389 4TH ST E,SONOMA,CA,95476,5717,SONOMA,38.293096,-122.448463
CA-W-528,DELICATO VINEYARDS,PRIVATE WINE CELLARS,12001 S HIGHWAY 99,MANTECA,CA,95336,8499,SAN JOAQUIN,37.85524,-121.22021
CA-W-530,DIAGEO CHATEAU & ESTATE WINES COMPANY,CHALONE VINEYARD,32020  STONEWALL CANYON RD,SOLEDAD,CA,93960,0000,MONTEREY,36.4602526,-121.2436448
CA-W-545,PAUL C. & MARJORIE STAIGER,P AND M STAIGER,1300 HOPKINS GULCH RD,BOULDER CREEK,CA,95006,8632,SANTA CRUZ,37.150185,-122.099795
CA-W-551,"EMILIO GUGLIELMO WINERY, INC.",EMILIO GUGLIELMO WINERY,1480 E MAIN AVE,MORGAN HILL,CA,95037,3201,SANTA CLARA,37.147464,-121.632611
CA-W-555,"MAYACAMAS VINEYARDS AND WINERY COMPANY, INC.",MAYACAMAS VINEYARDS,1155 LOKOYA RD,NAPA,CA,94558,9566,NAPA,38.3714241,-122.4237734
CA-W-564,E. & J. GALLO WINERY,E. & J. GALLO WINERY,5610 E OLIVE AVE,FRESNO,CA,93727,2707,FRESNO,36.757905,-119.698131
CA-W-565,E. & J. GALLO WINERY,LERAXA WINERY,18000 RIVER RD,LIVINGSTON,CA,95334,9516,MERCED,37.3750031,-120.8145046
CA-W-566,E. & J. GALLO WINERY,,600 YOSEMITE BLVD,MODESTO,CA,95354,2760,STANISLAUS,37.637123,-120.979621
